premium,premium_monthly,premium_quaterly,premium_half_yearly,SA,Plan,Company,claim_ratio,plan_description,plan_features_1,plan_features_2,plan_features_3,age,Term,Type Of Policy,combined
6549,578,1703.0,3341,5000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 5,000,000  on death ",NIL,Complete online process,20,9,Term Life Insurance,Premium:6549 premium_monthly:578 premium_quaterly:1703.0 premium_quaterly:3341 Sum Assured:5000000 age:20 Term:9 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
5354,457,,2710,5000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 5,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,20,9,Term Life Insurance,Premium:5354 premium_monthly:457 premium_quaterly:nan premium_quaterly:2710 Sum Assured:5000000 age:20 Term:9 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
5592,490,1454.0,2852,5000000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 5,000,000  on death ",NIL,Complete online process,20,9,Term Life Insurance,Premium:5592 premium_monthly:490 premium_quaterly:1454.0 premium_quaterly:2852 Sum Assured:5000000 age:20 Term:9 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
7387,650,1928.0,3789,7500000,Smart Secure Plus - Life Cover,Max Life Insurance Company Limited,99.65,"Max Life Smart Secure Plus plan offers customers multiple death benefit options at affordable premiums alongwith other features such as premium break, special exit value, voluntary sum assured top up and add on riders thus providing a comprehensive protection solution to customers.","Rs. 7,500,000  on death",Inbuilt terminal illness,Special Exit Benefit & Voluntary Top Up,20,12,Term Life Insurance,Premium:7387 premium_monthly:650 premium_quaterly:1928.0 premium_quaterly:3789 Sum Assured:7500000 age:20 Term:12 Type Of Policy:Term Life Insurance Company:Max Life Insurance Company Limited
7582,669,1972.0,3867,7500000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,20,12,Term Life Insurance,Premium:7582 premium_monthly:669 premium_quaterly:1972.0 premium_quaterly:3867 Sum Assured:7500000 age:20 Term:12 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
6969,595,,3528,7500000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 7,500,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,20,12,Term Life Insurance,Premium:6969 premium_monthly:595 premium_quaterly:nan premium_quaterly:3528 Sum Assured:7500000 age:20 Term:12 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
7338,642,1908.0,3743,7500000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,20,12,Term Life Insurance,Premium:7338 premium_monthly:642 premium_quaterly:1908.0 premium_quaterly:3743 Sum Assured:7500000 age:20 Term:12 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
7523,664,1956.0,3836,7500000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,20,9,Term Life Insurance,Premium:7523 premium_monthly:664 premium_quaterly:1956.0 premium_quaterly:3836 Sum Assured:7500000 age:20 Term:9 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
7204,615,,3647,7500000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 7,500,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,20,9,Term Life Insurance,Premium:7204 premium_monthly:615 premium_quaterly:nan premium_quaterly:3647 Sum Assured:7500000 age:20 Term:9 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
7650,669,1989.0,3901,7500000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,20,9,Term Life Insurance,Premium:7650 premium_monthly:669 premium_quaterly:1989.0 premium_quaterly:3901 Sum Assured:7500000 age:20 Term:9 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
6431,568,1672.0,3280,5000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 5,000,000  on death ",NIL,Complete online process,20,7,Term Life Insurance,Premium:6431 premium_monthly:568 premium_quaterly:1672.0 premium_quaterly:3280 Sum Assured:5000000 age:20 Term:7 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
5737,490,,2904,5000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 5,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,20,7,Term Life Insurance,Premium:5737 premium_monthly:490 premium_quaterly:nan premium_quaterly:2904 Sum Assured:5000000 age:20 Term:7 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
